keys,values
00, 
010,e
0110,t
01110,a
01111,o
1000,n
1001,i
1010,r
10110,s
101110,h
101111,l
11000,d
110010,u
110011,c
11010,f
110110,m
1101110,"
"
1101111,","
111000,w
111001,p
111010,g
1110110,y
1110111,b
1111000,.
1111001,v
11110100,k
11110101,I
111101100,T
111101101,_
111101110,1
1111011110,S
1111011111,A
111110000,2
111110001,3
111110010,4
1111100110,5
1111100111,B
111110100,P
1111101010,q
1111101011,C
1111101100,M
1111101101,-
1111101110,0
11111011110,8
11111011111,9
111111000,H
1111110010,6
11111100110,7
11111100111,G
1111110100,E
1111110101,x
1111110110,z
11111101110,—
111111011110,O
111111011111,R
1111111000,W
11111110010,F
111111100110,j
111111100111,:
11111110100,N
11111110101,L
11111110110,”
111111101110,“
111111101111,D
11111111000,K
11111111001,’
11111111010,V
111111110110,ü
1111111101110,ï
1111111101111,J
111111111000,î
111111111001,Y
111111111010,;
1111111110110,]
1111111110111,[
1111111111000,)
1111111111001,(
1111111111010,U
11111111110110,?
11111111110111,!
1111111111100,é
11111111111010,ö
111111111110110,*
111111111110111,æ
11111111111100,™
111111111111010,X
1111111111110110,Z
11111111111101110,í
11111111111101111,⸺
1111111111111000,è
1111111111111001,Q
1111111111111010,á
11111111111110110,/
11111111111110111,à
11111111111111000,ç
111111111111110010,ô
111111111111110011,ê
111111111111110100,É
1111111111111101010,α
1111111111111101011,'
1111111111111101100,•
1111111111111101101,ο
1111111111111101110,ν
11111111111111011110,ä
11111111111111011111,Á
1111111111111110000,ρ
1111111111111110001,γ
1111111111111110010,œ
11111111111111100110,â
11111111111111100111,Ü
11111111111111101000,‘
11111111111111101001,υ
11111111111111101010,τ
11111111111111101011,π
11111111111111101100,ι
11111111111111101101,η
11111111111111101110,δ
11111111111111101111,ί
11111111111111110000,Î
11111111111111110001,Æ
11111111111111110010,$
111111111111111100110,₂
111111111111111100111,ῖ
111111111111111101000,ὀ
111111111111111101001,ἁ
111111111111111101010,χ
111111111111111101011,σ
111111111111111101100,ς
111111111111111101101,μ
111111111111111101110,κ
111111111111111101111,ε
111111111111111110000,ή
111111111111111110001,ά
111111111111111110010,Σ
111111111111111110011,Œ
111111111111111110100,č
111111111111111110101,û
111111111111111110110,ú
111111111111111110111,ù
111111111111111111000,ó
111111111111111111001,ò
111111111111111111010,ì
111111111111111111011,ë
111111111111111111100,Ö
111111111111111111101,£
111111111111111111110,%
111111111111111111111,#
